influencer_name,category,insta_id,username,followers_count,following_count,avg_likes,avg_comments,total_posts,account_age_days,profile_complete
AvaFit,Fitness,INF001,avafit_official,250000,1200,13200,560,980,2600,1
AvaFit,Fitness,INF001,user_fit_001,180,170,1,0,10,150,0
AvaFit,Fitness,INF001,user_fit_002,2400,320,120,9,190,1200,1
AvaFit,Fitness,INF001,user_fit_003,90,4100,0,0,6,35,0
AvaFit,Fitness,INF001,user_fit_004,540,700,4,1,26,300,1
AvaFit,Fitness,INF001,user_fit_005,6500,860,420,35,420,1800,1
AvaFit,Fitness,INF001,user_fit_006,210,2300,1,0,12,60,0
AvaFit,Fitness,INF001,user_fit_007,4000,420,280,18,210,1400,1
AvaFit,Fitness,INF001,user_fit_008,300,340,2,0,8,220,1
AvaFit,Fitness,INF001,user_fit_009,110,1200,0,0,5,45,0
AvaFit,Fitness,INF001,user_fit_010,1500,250,85,6,145,900,1
ChefNina,Food,INF002,chef_nina,180000,940,10200,490,840,2200,1
ChefNina,Food,INF002,user_food_001,230,1800,1,0,9,70,0
ChefNina,Food,INF002,user_food_002,4100,380,200,20,170,1100,1
ChefNina,Food,INF002,user_food_003,100,4300,0,0,4,20,0
ChefNina,Food,INF002,user_food_004,560,640,6,1,30,260,1
ChefNina,Food,INF002,user_food_005,7000,980,500,40,390,1900,1
ChefNina,Food,INF002,user_food_006,320,3400,1,0,7,50,0
ChefNina,Food,INF002,user_food_007,4800,500,260,24,220,1300,1
ChefNina,Food,INF002,user_food_008,290,300,3,0,11,240,1
ChefNina,Food,INF002,user_food_009,120,1700,0,0,6,32,0
ChefNina,Food,INF002,user_food_010,2100,330,110,9,160,970,1
